Sr.No,Month,Day,Date,Type,Event Name,Description,Field
178,"May","6","May 6","birthday","Max Perutz â€” Born 1914","Determined hemoglobin structure via X-ray crystallography. Nobel Chemistry 1962.","Biochemistry"
179,"June","17","June 17","birthday","William Crookes â€” Born 1832","Discovered thallium, invented the Crookes tube (precursor to X-ray tubes).","Chemistry/Physics"
180,"July","12","July 12","birthday","George Eastman â€” Born 1854","Pioneered photographic film using chemistry. Founded Kodak.","Chemistry/Optics"
181,"July","31","July 31","birthday","Primo Levi â€” Born 1919","""The Periodic Table"" â€” connecting chemical elements to human experience. Survived Auschwitz.","Chemistry"
182,"August","18","August 18","birthday","Brook Taylor â€” Born 1685","Taylor series expansion â€” one of the most useful tools in physics.","Mathematical Physics"
183,"September","20","September 20","birthday","James Dewar â€” Born 1842","Invented the Dewar flask (thermos), first liquefied hydrogen.","Cryogenics"
184,"October","12","October 12","birthday","Hans von Euler-Chelpin â€” Born 1873","Nobel Chemistry 1929 for fermentation enzymes.","Biochemistry"
185,"October","14","October 14","birthday","Har Gobind Khorana â€” Born 1922","Decoded genetic code, synthesized first artificial gene. Nobel 1968.","Biochemistry"
186,"November","14","November 14","birthday","Frederick Banting â€” Born 1891","Co-discovered insulin (1921). Nobel 1923. Saved millions of diabetics.","Biochemistry"
187,"November","30","November 30","birthday","Andrew Huxley â€” Born 1917","Nobel for nerve impulse transmission â€” applying physics to biology.","Biophysics"
188,"December","16","December 16","birthday","Johann Wilhelm Ritter â€” Born 1776","Discovered ultraviolet radiation (1801). Built first dry cell battery.","Electrochemistry"
189,"January","3","January 3","birthday","Lucretius â€” Born ~99 BC","Roman philosopher who proposed atoms, void, and natural laws in ""De Rerum Natura"" centuries before modern science.","Natural Philosophy"
190,"February","3","February 3","birthday","Robert Coleman Richardson â€” Born 1937","Nobel 1996 for superfluidity in helium-3. Low-temperature physics pioneer.","Condensed Matter"
191,"February","22","February 22","birthday","Robert Millikan â€” Born 1868","Oil drop experiment measured electron charge. Nobel 1923. Also measured Planck\'s constant.","Experimental Physics"
192,"March","3","March 3","birthday","Alexander Graham Bell â€” Born 1847","Invented the telephone. Contributed to acoustics, optical telecommunications, and aeronautics.","Acoustics"
193,"March","27","March 27","birthday","Wilhelm RÃ¶ntgen â€” Born 1845","Discovered X-rays (1895). First Nobel Prize in Physics (1901). Refused to patent his discovery.","Physics"
194,"April","3","April 3","birthday","Meghnad Saha â€” Born 1893","Saha ionization equation â€” fundamental to stellar astrophysics. Nominated for Nobel multiple times.","Astrophysics"
195,"April","20","April 20","birthday","Charles Augustin de Coulomb â€” Born 1736","Coulomb\'s law of electrostatic force. The coulomb (C) unit of charge.","Electrostatics"
196,"May","9","May 9","birthday","Gaspard-Gustave de Coriolis â€” Born 1792","Described the Coriolis effect â€” deflection of moving objects in rotating reference frames.","Classical Mechanics"
197,"July","6","July 6","birthday","IrÃ¨ne Joliot-Curie â€” Born 1897","Daughter of Marie Curie. Nobel Chemistry 1935 for artificial radioactivity.","Nuclear Chemistry"
198,"July","15","July 15","birthday","APJ Abdul Kalam â€” Born 1931","India\'s ""Missile Man."" Led ballistic missile and space programs. 11th President of India.","Aerospace"
199,"July","28","July 28","birthday","Karl Popper â€” Born 1902","Philosophy of science â€” falsifiability as the criterion of scientific theories.","Philosophy of Science"
200,"August","22","August 22","birthday","Denis Papin â€” Born 1647","Invented the pressure cooker and the first piston steam engine concept.","Thermodynamics"
201,"September","8","September 8","birthday","Vikram Sarabhai â€” Born 1919","""Father of the Indian Space Programme."" Founded ISRO. Established IIM Ahmedabad.","Space"
202,"September","11","September 11","birthday","James Jeans â€” Born 1877","Jeans instability in astrophysics. Rayleigh-Jeans law in blackbody radiation.","Astrophysics"
203,"September","27","September 27","birthday","Jacques-Alexandre-CÃ©sar Charles â€” Born 1746","Charles\'s law: V/T = constant. First hydrogen balloon flight.","Gas Physics"
204,"October","8","October 8","birthday","Ejnar Hertzsprung â€” Born 1873","Hertzsprung-Russell diagram â€” classifying stars by luminosity and temperature.","Astrophysics"
205,"October","28","October 28","birthday","Jonas Salk â€” Born 1914","Developed first polio vaccine. Refused to patent: ""Could you patent the sun?""","Virology"
206,"November","19","November 19","birthday","Homi Jehangir Bhabha â€” Born 1909","""Father of Indian Nuclear Programme."" Founded TIFR and BARC. Bhabha scattering in QED.","Nuclear Physics"
207,"November","20","November 20","birthday","Edwin Hubble â€” Born 1889","Proved galaxies exist beyond the Milky Way. Hubble\'s law: universe is expanding.","Astrophysics"
208,"December","1","December 1","birthday","Martin Heinrich Klaproth â€” Born 1743","Discovered uranium, zirconium, and cerium. Pioneer of analytical chemistry.","Chemistry"
209,"December","28","December 28","birthday","Arthur Eddington â€” Born 1882","Confirmed general relativity via solar eclipse. Pioneered stellar structure theory.","Astrophysics"
210,"January","4","January 4","memorial","Erwin SchrÃ¶dinger â€” Died 1961","Austrian physicist died in Vienna at 73. His wave equation remains the cornerstone of quantum mechanics.","Quantum Mechanics"
211,"January","7","January 7","memorial","Nikola Tesla â€” Died 1943","Died alone in Room 3327 of the New Yorker Hotel at age 86. His AC power system lights the modern world.","Electrical Engineering"
212,"January","8","January 8","memorial","Galileo Galilei â€” Died 1642","""Father of Modern Science"" died under house arrest. Newton was born the same year.","Physics/Astronomy"
213,"January","28","January 28","memorial","Challenger Disaster â€” 1986","Shuttle broke apart 73 seconds after launch, killing 7 crew including teacher Christa McAuliffe.","Space"
214,"February","1","February 1","memorial","Werner Heisenberg â€” Died 1976","Pioneer of quantum mechanics died in Munich at 74. Uncertainty Principle.","Quantum Mechanics"
215,"February","1","February 1","memorial","Columbia Disaster â€” 2003","Shuttle disintegrated during re-entry, killing 7 crew. Foam insulation damage.","Space"
216,"February","2","February 2","memorial","Dmitri Mendeleev â€” Died 1907","Periodic Table creator died in Saint Petersburg at 72. Element 101 = Mendelevium.","Chemistry"
217,"February","15","February 15","memorial","Richard Feynman â€” Died 1988","Last words: ""I\'d hate to die twice. It\'s so boring."" Cancer. Age 69.","Theoretical Physics"
218,"February","18","February 18","memorial","J. Robert Oppenheimer â€” Died 1967","Died of throat cancer at 62. Security clearance revoked in 1954.","Nuclear Physics"
219,"March","14","March 14","memorial","Stephen Hawking â€” Died 2018","Died on Pi Day â€” Einstein\'s birthday. Ashes in Westminster Abbey near Newton.","Cosmology"
220,"March","31","March 31","memorial","Isaac Newton â€” Died 1727","Died in London at 84. Buried in Westminster Abbey. ""Standing on shoulders of giants.""","Classical Physics"
221,"April","16","April 16","memorial","Rosalind Franklin â€” Died 1958","Died of ovarian cancer at 37. Photo 51 essential for DNA discovery. Never received the Nobel.","Crystallography"
222,"April","18","April 18","memorial","Albert Einstein â€” Died 1955","Died in Princeton at 76. ""I want to go when I want. I have done my share.""","Theoretical Physics"
223,"April","19","April 19","memorial","Pierre Curie â€” Died 1906","Killed by a horse-drawn cart in Paris at 46.","Radioactivity"
224,"April","30","April 30","memorial","Carl Friedrich Gauss â€” Died 1855","""Prince of Mathematicians"" died at 77. Contributions to all areas of math and physics.","Mathematics/Physics"
225,"May","8","May 8","memorial","Antoine Lavoisier â€” Executed 1794","Guillotined during the Terror. ""A hundred years might not produce another like it.""","Chemistry"
226,"May","19","May 19","memorial","Thomas Young â€” Died 1829","Double-slit experiment proved wave nature of light. Also deciphered hieroglyphics.","Wave Optics"
227,"June","1","June 1","memorial","Sadi Carnot â€” Died 1832","Founder of thermodynamics died of cholera at 36. Carnot cycle defines maximum engine efficiency.","Thermodynamics"
228,"July","4","July 4","memorial","Marie Curie â€” Died 1934","Died of aplastic anemia from radiation at 66. Her notebooks are still radioactive.","Radioactivity"
229,"July","18","July 18","memorial","Robert Hooke â€” Died 1703","Hooke\'s law (F=-kx), coined ""cell,"" built microscopes. Bitter rival of Newton.","Mechanics"
230,"July","27","July 27","memorial","John Dalton â€” Died 1844","Father of atomic theory died at 77. 40,000 people viewed his coffin.","Chemistry"
231,"August","25","August 25","memorial","Michael Faraday â€” Died 1867","Self-taught genius died at 75. Declined knighthood. Electromagnetic induction powers civilization.","Electromagnetism"
232,"September","5","September 5","memorial","Ludwig Boltzmann â€” Died 1906","Died by suicide at 62. Epitaph: S = k log W. Ideas vindicated by Einstein shortly after.","Statistical Mechanics"
233,"October","4","October 4","memorial","Max Planck â€” Died 1947","Quantum theory originator died at 89. Endured tremendous personal tragedy.","Quantum Physics"
234,"October","19","October 19","memorial","Ernest Rutherford â€” Died 1937","""Father of Nuclear Physics"" died at 66. Element 104 = Rutherfordium.","Nuclear Physics"
235,"October","20","October 20","memorial","Paul Dirac â€” Died 1984","Died at 82. His equation predicted antimatter. Westminster Abbey memorial near Newton.","Quantum Mechanics"
236,"October","27","October 27","memorial","Lise Meitner â€” Died 1968","Gravestone: ""A physicist who never lost her humanity."" Element 109 = Meitnerium.","Nuclear Physics"
237,"November","5","November 5","memorial","James Clerk Maxwell â€” Died 1879","Great unifier of electromagnetism died of cancer at just 48.","Electrodynamics"
238,"November","18","November 18","memorial","Niels Bohr â€” Died 1962","Atomic structure pioneer died at 77. Element 107 = Bohrium.","Atomic Physics"
239,"November","21","November 21","memorial","C.V. Raman â€” Died 1970","Nobel laureate died at 82. Raman Effect enables spectroscopy worldwide.","Optics"
240,"November","28","November 28","memorial","Enrico Fermi â€” Died 1954","Died of stomach cancer at 53. Element 100 = Fermium.","Nuclear Physics"
241,"December","10","December 10","memorial","Alfred Nobel â€” Died 1896","Died at 63. His will established the Nobel Prizes ""for the greatest benefit to humankind.""","Chemistry"
242,"December","15","December 15","memorial","Wolfgang Pauli â€” Died 1958","Died in room 137 â€” close to inverse of the fine-structure constant that obsessed him.","Quantum Physics"
243,"December","20","December 20","memorial","Srinivasa Ramanujan â€” Died 1920","Indian genius died at 32. His identities continue yielding results in string theory and black holes.","Mathematical Physics"
244,"December","30","December 30","memorial","Archimedes â€” Died 212 BC","Killed by a Roman soldier during the siege of Syracuse. ""Do not disturb my circles.""","Classical Physics"
245,"May","30","May 30","memorial","Voltaire â€” Died 1778","Great advocate for Newtonian physics in France. Popularized science across Europe.","Science Communication"
246,"June","19","June 19","memorial","Blaise Pascal â€” Died 1662","Died at 39. Pascal\'s law, probability theory, first calculator.","Fluid Mechanics"
247,"March","20","March 20","memorial","Lord Rayleigh â€” Died 1919","Nobel 1904 for argon discovery. Rayleigh scattering explains why the sky is blue.","Optics"
248,"August","2","August 2","memorial","Alexander Graham Bell â€” Died 1922","Inventor of the telephone. Also contributed to optical telecommunications and aeronautics.","Acoustics"
249,"September","14","September 14","memorial","Alexander von Humboldt â€” Died 1859","Last universal scientist. Connected climate, geography, and physics. Darwin\'s inspiration.","Natural Philosophy"
250,"October","15","October 15","memorial","APJ Abdul Kalam â€” Died 2015","India\'s ""Missile Man"" and former President collapsed during a lecture at IIM Shillong. Age 83.","Aerospace"
251,"April","28","April 28","memorial","Eugene Wigner â€” Died 1995","Nobel 1963 for nuclear and particle physics contributions. Wigner\'s friend thought experiment.","Nuclear Physics"
252,"December","30","December 30","memorial","Vikram Sarabhai â€” Died 1971","Father of Indian Space Programme died at 52. ISRO\'s Vikram lander named in his honor.","Space"
253,"January","17","January 17","achievement","Discovery of Radioactivity â€” Becquerel (1896)","Uranium salts fogged photographic plates without sunlight â€” spontaneous radioactivity discovered.","Nuclear Physics"
254,"January","31","January 31","achievement","Explorer 1 â€” First US Satellite (1958)","Discovered Van Allen radiation belts. Launched the US into the Space Race.","Space"
255,"February","11","February 11","achievement","Gravitational Waves Detected â€” LIGO (2016)","Two merging black holes 1.3 billion light-years away confirmed Einstein\'s 1915 prediction.","General Relativity"
256,"February","28","February 28","achievement","Neutron Discovered â€” Chadwick (1932)","Completed atomic structure picture. Enabled nuclear fission. Nobel 1935.","Nuclear Physics"
257,"March","6","March 6","achievement","Periodic Table Presented â€” Mendeleev (1869)","63 elements organized by atomic weight. Predicted undiscovered elements with stunning accuracy.","Chemistry"
258,"March","16","March 16","achievement","First Liquid-Fueled Rocket â€” Goddard (1926)","2.5 seconds of flight, 41 feet altitude in Auburn, Massachusetts. Began the space age.","Rocket Physics"
259,"March","18","March 18","achievement","Superconductivity Discovered â€” Onnes (1911)","Mercury\'s resistance vanished at 4.2 K. Nobel 1913.","Condensed Matter"
260,"March","24","March 24","achievement","Haber-Bosch Process Patented (1908)","Ammonia synthesis from Nâ‚‚ + Hâ‚‚. Now feeds ~4 billion people.","Chemistry"
261,"April","2","April 2","achievement","First Artificial Element: Technetium (1937)","Perrier and SegrÃ¨ filled element 43\'s gap in the Periodic Table.","Nuclear Chemistry"
262,"April","12","April 12","achievement","First Human in Space â€” Gagarin (1961)","Orbited Earth in 108 minutes in Vostok 1.","Space"
263,"April","14","April 14","achievement","Bohr Model of the Atom (1913)","Quantized electron orbits explained the hydrogen spectrum perfectly.","Atomic Physics"
264,"April","25","April 25","achievement","DNA Double Helix Published (1953)","Watson & Crick in Nature, using Franklin\'s data. One of the greatest discoveries ever.","Biophysics"
265,"May","5","May 5","achievement","First American in Space â€” Shepard (1961)","15-minute suborbital flight aboard Freedom 7.","Space"
266,"May","15","May 15","achievement","First Laser Operated â€” Maiman (1960)","Synthetic ruby laser at Hughes Research Labs.","Optics"
267,"May","29","May 29","achievement","General Relativity Confirmed â€” Eddington (1919)","Solar eclipse proved gravity bends light. Made Einstein world-famous overnight.","General Relativity"
268,"June","4","June 4","achievement","Raman Effect Discovery (1928)","Inelastic light scattering demonstrated in Kolkata. Nobel 1930.","Optics"
269,"June","10","June 10","achievement","Millikan Oil Drop Experiment (1910)","Measured electron charge: e = 1.602Ã—10â»Â¹â¹ C. Nobel 1923.","Experimental Physics"
270,"June","15","June 15","achievement","Franklin\'s Kite Experiment (1752)","Proved lightning is electrical. Led to the lightning rod.","Electricity"
271,"June","16","June 16","achievement","First Woman in Space â€” Tereshkova (1963)","Orbited Earth 48 times in Vostok 6.","Space"
272,"June","26","June 26","achievement","Carnot\'s Thermodynamics Founded (1824)","""Reflections on the Motive Power of Fire"" â€” founding thermodynamics.","Thermodynamics"
273,"June","30","June 30","achievement","Einstein\'s Special Relativity (1905)","""On the Electrodynamics of Moving Bodies"" â€” E=mcÂ². Annus Mirabilis.","Relativity"
274,"July","5","July 5","achievement","Newton\'s Principia Published (1687)","Most important scientific book ever. Three laws of motion and universal gravitation.","Classical Physics"
275,"July","16","July 16","achievement","Trinity Nuclear Test (1945)","First nuclear detonation. 25 kilotons. ""Now I am become Death.""","Nuclear Physics"
276,"July","20","July 20","achievement","First Moon Landing â€” Apollo 11 (1969)","Armstrong & Aldrin on the Moon. Collins orbited above. 600 million watched.","Space"
277,"August","6","August 6","achievement","Higgs Boson Confirmed â€” CERN (2012)","Discovery at the LHC confirmed the mass-giving mechanism. Higgs & Englert Nobel 2013.","Particle Physics"
278,"August","17","August 17","achievement","First Exoplanet Discovered (1992)","Wolszczan found planets orbiting pulsar PSR B1257+12.","Astrophysics"
279,"September","2","September 2","achievement","Antiproton Discovered (1955)","Chamberlain and SegrÃ¨ at Berkeley\'s Bevatron. Nobel 1959.","Particle Physics"
280,"September","10","September 10","achievement","LHC First Beam â€” CERN (2008)","World\'s largest particle accelerator. 27 km ring. 13.6 TeV.","Particle Physics"
281,"September","12","September 12","achievement","JFK Moon Speech (1962)","""We choose to go to the Moon in this decade!"" at Rice University.","Space"
282,"October","1","October 1","achievement","CERN Founded (1954)","European nuclear research org. Home to LHC, Higgs discovery, and the World Wide Web.","Particle Physics"
283,"October","4","October 4","achievement","Sputnik 1 Launched (1957)","First artificial satellite. 83.6 kg. Space Age began.","Space"
284,"November","3","November 3","achievement","Sputnik 2 â€” Laika in Space (1957)","First animal to orbit Earth.","Space"
285,"November","8","November 8","achievement","X-Rays Discovered â€” RÃ¶ntgen (1895)","First Nobel Prize in Physics (1901). His wife\'s hand X-ray became iconic.","Physics"
286,"November","13","November 13","achievement","Mariner 9 Orbits Mars (1971)","First spacecraft to orbit another planet. Mapped 85% of Mars.","Space"
287,"November","21","November 21","achievement","General Relativity Presented (1915)","Einstein\'s field equations. Gravity = curvature of spacetime.","General Relativity"
288,"December","2","December 2","achievement","Chicago Pile-1 â€” First Nuclear Reactor (1942)","Fermi\'s team achieved first chain reaction. ""The Italian navigator has landed.""","Nuclear Physics"
289,"December","10","December 10","achievement","Nobel Prize Ceremony Day","Awarded annually on Alfred Nobel\'s death anniversary.","Nobel"
290,"December","14","December 14","achievement","Planck\'s Quantum Hypothesis (1900)","E=hÎ½ â€” energy comes in quanta. Birth of quantum physics.","Quantum Physics"
291,"December","17","December 17","achievement","Wright Brothers\' First Flight (1903)","First powered flight. 12 seconds, 120 feet at Kitty Hawk.","Aerodynamics"
292,"December","20","December 20","achievement","Radium Isolated â€” The Curies (1898)","Isolated radium from pitchblende. Led to Marie\'s second Nobel.","Radioactivity"
293,"December","24","December 24","achievement","Apollo 8 Orbits the Moon (1968)","First crewed orbit of the Moon. ""Earthrise"" photo became iconic.","Space"
294,"December","25","December 25","achievement","James Webb Space Telescope Launched (2021)","Largest space telescope ever. Infrared vision sees first galaxies 13+ billion years ago.","Space"
295,"July","23","July 23","achievement","Chandrasekhar Limit Proposed (1930)","19-year-old Chandrasekhar calculated the maximum mass of a white dwarf on a ship to England.","Astrophysics"
296,"January","24","January 24","achievement","Discovery of Uranium Fission â€” Hahn (1939)","Otto Hahn and Fritz Strassmann published nuclear fission. Changed the world forever.","Nuclear Physics"
297,"May","18","May 18","achievement","India\'s First Nuclear Test â€” Pokhran (1974)","Code-named ""Smiling Buddha."" Made India the 6th nuclear power.","Nuclear Physics"
298,"August","28","August 28","achievement","Positron Discovered â€” Anderson (1932)","Carl Anderson found antimatter in cosmic rays. Confirmed Dirac\'s prediction. Nobel 1936.","Particle Physics"
299,"April","10","April 10","achievement","First Image of a Black Hole â€” EHT (2019)","Event Horizon Telescope captured M87* supermassive black hole. 55 million light-years away.","Astrophysics"
300,"April","24","April 24","achievement","Hubble Space Telescope Launched (1990)","Deployed from Space Shuttle Discovery. Revolutionized astronomy with deep field images.","Space"
301,"July","14","July 14","achievement","New Horizons Pluto Flyby (2015)","First spacecraft to visit Pluto. Revealed heart-shaped nitrogen glacier and complex geology.","Space"
302,"August","20","August 20","achievement","Voyager 2 Launched (1977)","Visited all four gas giants. Still sending data from interstellar space.","Space"
303,"September","5","September 5","achievement","Voyager 1 Launched (1977)","Farthest human-made object. Entered interstellar space in 2012. Carries the Golden Record.","Space"
304,"September","24","September 24","achievement","Mangalyaan Reaches Mars â€” ISRO (2014)","India\'s Mars Orbiter â€” first nation to succeed on its first attempt. Cost less than the movie Gravity.","Space"
305,"October","22","October 22","achievement","Chandrayaan-3 Lands on Moon â€” ISRO (2023)","India became 4th country to land on the Moon, first near the south pole.","Space"
306,"January","27","January 27","achievement","Apollo 1 Fire Memorial (1967)","Fire during launch rehearsal killed Grissom, White, and Chaffee. Led to critical safety redesigns.","Space"
307,"February","20","February 20","achievement","John Glenn Orbits Earth (1962)","First American to orbit Earth. Three orbits in Friendship 7.","Space"
308,"March","2","March 2","achievement","Pioneer 10 Launched (1972)","First spacecraft through the asteroid belt and past Jupiter. Now in interstellar space.","Space"
309,"May","14","May 14","achievement","Skylab Launched (1973)","First US space station. Three crews conducted 300+ experiments in 171 days.","Space"
310,"January","13","January 13","astro","Saturn at Opposition (Approx.)","Saturn directly opposite the Sun, at its brightest. Rings spectacular in any telescope.","Planetary"
311,"February","2","February 2","astro","Midpoint of Winter","Cross-quarter day halfway between winter solstice and spring equinox. Ancient astronomical marker.","Seasonal"
312,"March","1","March 1","astro","Jupiter-Venus Conjunction Season","Close approach of the two brightest planets. Spectacular naked-eye event.","Planetary"
313,"April","9","April 9","astro","Virgo Galaxy Cluster Season","Best time to observe the Virgo Cluster â€” 2,000+ galaxies visible in telescopes.","Deep Sky"
314,"May","1","May 1","astro","Milky Way Core Rising Season","The galactic center rises earlier each night. Peak astrophotography season begins.","Deep Sky"
315,"June","10","June 10","astro","Midnight Sun (Arctic Circle)","24 hours of sunlight at the Arctic Circle. Demonstrating Earth\'s axial tilt.","Seasonal"
316,"August","1","August 1","astro","Saturn Opposition Season","Saturn at its closest to Earth. Rings, Titan, and Cassini Division visible in small telescopes.","Planetary"
317,"September","13","September 13","astro","Neptune at Opposition (Approx.)","Ice giant at its brightest â€” still needs a telescope. Blue color from methane atmosphere.","Planetary"
318,"October","31","October 31","astro","Halloween â€” Ancient Astronomical Festival","Cross-quarter day between autumn equinox and winter solstice. Celtic Samhain marked astronomical new year.","Seasonal"
319,"November","1","November 1","astro","Uranus at Opposition (Approx.)","Seventh planet at its brightest. Barely visible to naked eye. Blue-green disk in binoculars.","Planetary"
320,"December","3","December 3","astro","Jupiter at Opposition (Approx.)","King of planets at its brightest. Galilean moons visible in binoculars. Great Red Spot in telescopes.","Planetary"
321,"January","5","January 5","birthday","Camille Jordan â€” Born 1838","French mathematician who founded the theory of finite groups and developed Jordan normal form in linear algebra.","Group Theory"
322,"January","9","January 9","achievement","Cauchy\'s Rigorous Limit Definition","Augustin-Louis Cauchy formalized the epsilon-delta definition of limits, placing calculus on a rigorous foundation for the first time.","Analysis"
323,"January","14","January 14","birthday","Alfred Tarski â€” Born 1901","Polish-American logician who made groundbreaking contributions to model theory, metamathematics, and the undefinability theorem.","Mathematical Logic"
324,"January","16","January 16","birthday","NiccolÃ² Tartaglia â€” Born 1499","Italian mathematician who discovered the general solution to cubic equations and published the first Italian translations of Euclid and Archimedes.","Algebra"
325,"January","18","January 18","birthday","Edward Lorenz â€” Born 1917","Father of chaos theory. Discovered the butterfly effect â€” tiny changes in initial conditions lead to vastly different outcomes.","Chaos Theory"
326,"January","20","January 20","birthday","Johann Bernoulli â€” Born 1667","Pioneer of infinitesimal calculus. Teacher of Euler. Developed the brachistochrone problem and L\'HÃ´pital\'s rule.","Calculus"
327,"January","21","January 21","birthday","Leonid Kantorovich â€” Born 1912","Soviet mathematician who founded linear programming. Won the 1975 Nobel Prize in Economics for optimal resource allocation.","Linear Programming"
328,"January","23","January 23","birthday","David Hilbert â€” Born 1862","Posed 23 problems that shaped 20th-century mathematics. Hilbert spaces are fundamental to quantum mechanics.","Mathematics"
329,"January","26","January 26","birthday","Benoit Mandelbrot â€” Born 1924","Father of fractal geometry. Showed that complex natural shapes can be described by simple recursive mathematical rules.","Fractal Geometry"
330,"January","30","January 30","achievement","Lebesgue Integral Published (1902)","Henri Lebesgue published his revolutionary integral, generalizing the Riemann integral and transforming modern analysis and probability theory.","Measure Theory"
331,"February","5","February 5","birthday","L.E.J. Brouwer â€” Born 1881","Dutch mathematician who founded intuitionism in philosophy of mathematics and proved the fixed-point theorem in topology.","Topology"
332,"February","6","February 6","birthday","Mary Somerville â€” Born 1780","Scottish polymath and mathematician. Her work ""On the Connexion of the Physical Sciences"" influenced Maxwell. The word ""scientist"" was coined for her.","Mathematics"
333,"February","10","February 10","memorial","Sofia Kovalevskaya Died (1891)","First major female mathematician in modern Europe. Made pioneering contributions to analysis, PDEs, and mechanics. Died at just 41.","Analysis"
334,"February","12","February 12","birthday","Charles Darwin â€” Born 1809","Theory of evolution by natural selection, published in ""On the Origin of Species"" (1859). Transformed biology forever.","Natural Science"
335,"February","13","February 13","birthday","Peter Gustav Lejeune Dirichlet â€” Born 1805","Pioneer of analytic number theory and Fourier series. Dirichlet\'s theorem on primes in arithmetic progressions.","Number Theory"
336,"February","16","February 16","birthday","Francis Galton â€” Born 1822","Invented regression to the mean, correlation, and the concept of standard deviation. Pioneer of modern statistics.","Statistics"
337,"February","19","February 19","birthday","Nicolaus Copernicus â€” Born 1473","Proposed the heliocentric model placing the Sun at the center. His ""De revolutionibus"" (1543) launched the Scientific Revolution.","Astronomy/Mathematics"
338,"February","21","February 21","birthday","Girard Desargues â€” Born 1591","French mathematician and engineer who founded projective geometry. Desargues\' theorem is fundamental to perspective and geometry.","Projective Geometry"
339,"February","23","February 23","birthday","Karl Friedrich Gauss â€” Born 1777","""Prince of Mathematicians."" Contributions to number theory, algebra, statistics, analysis, differential geometry, geodesy, and electrostatics.","Mathematics"
340,"February","25","February 25","birthday","Christopher Clavius â€” Born 1538","Jesuit mathematician and astronomer who was the principal architect of the Gregorian calendar reform of 1582.","Mathematics/Astronomy"
341,"February","26","February 26","birthday","Marius Sophus Lie â€” Born 1842","Norwegian mathematician who created Lie groups and Lie algebras â€” essential to modern physics, from particle physics to general relativity.","Lie Groups"
342,"February","27","February 27","achievement","Brouwer Fixed-Point Theorem","L.E.J. Brouwer proved that any continuous function from a disk to itself must have a fixed point. Fundamental result in topology and economics.","Topology"
343,"February","29","February 29","intl","Leap Day","Added every 4 years (except centuries not divisible by 400) to synchronize the calendar with Earth\'s orbital period of ~365.2422 days.","Mathematics/Astronomy"
344,"March","4","March 4","birthday","Kazimierz Kuratowski â€” Born 1896","Polish mathematician known for Kuratowski\'s theorem in graph theory and contributions to set theory and topology.","Topology"
345,"March","5","March 5","birthday","Gerardus Mercator â€” Born 1512","Cartographer and mathematician who created the Mercator projection â€” a conformal map projection still used in navigation.","Cartography/Mathematics"
346,"March","8","March 8","achievement","Napier\'s Logarithms Published (1614)","John Napier\'s ""Mirifici Logarithmorum"" introduced logarithms, revolutionizing calculation and enabling advances in astronomy and navigation.","Mathematics"
347,"March","9","March 9","birthday","Howard Aiken â€” Born 1900","Pioneer of computing who conceived the Harvard Mark I. Bridged mathematics and mechanical computation.","Computing/Mathematics"
348,"March","11","March 11","birthday","Urbain Le Verrier â€” Born 1811","Predicted the existence and position of Neptune using only mathematics. Johann Galle found it within 1 degree of his prediction.","Celestial Mechanics"
349,"March","12","March 12","birthday","Gustav Kirchhoff â€” Born 1824","Kirchhoff\'s circuit laws and contributions to spectroscopy. With Bunsen, discovered caesium and rubidium.","Physics/Mathematics"
350,"March","15","March 15","achievement","Euler\'s Product Formula (1737)","Leonhard Euler connected prime numbers to the zeta function via his product formula, founding analytic number theory.","Number Theory"
351,"March","17","March 17","birthday","Gottlob Frege â€” Born 1848","Father of analytic philosophy and modern logic. Created predicate logic and the foundations of mathematics in ""Begriffsschrift"" (1879).","Mathematical Logic"
352,"March","19","March 19","achievement","Euler-Lagrange Equation Published","Joseph-Louis Lagrange published the Euler-Lagrange equation, the cornerstone of the calculus of variations and classical mechanics.","Mathematical Physics"
353,"March","22","March 22","birthday","Ã‰lie Cartan â€” Born 1869","French mathematician who made fundamental contributions to Lie groups, differential geometry, and the theory of spinors.","Differential Geometry"
354,"March","26","March 26","birthday","Paul ErdÅ‘s â€” Born 1913","Most prolific mathematician of the 20th century with ~1,500 papers. Known for the ErdÅ‘s number and collaborative mathematics.","Combinatorics"
355,"March","30","March 30","birthday","Stefan Banach â€” Born 1892","Founded modern functional analysis. Banach spaces, Banach-Tarski paradox, and the Hahn-Banach theorem bear his name.","Functional Analysis"
356,"April","1","April 1","birthday","Sophie Germain â€” Born 1776","Self-taught French mathematician who made pioneering work on Fermat\'s Last Theorem and elasticity theory despite gender barriers.","Number Theory"
357,"April","4","April 4","achievement","Fermat\'s Last Theorem â€” Wiles Proof (1995)","Andrew Wiles announced his proof of Fermat\'s Last Theorem, solving a 358-year-old conjecture using modular forms and elliptic curves.","Number Theory"
358,"April","6","April 6","birthday","Marin Mersenne â€” Born 1588","French polymath known for Mersenne primes (2^p - 1). His network of correspondence connected Europe\'s greatest scientists.","Number Theory"
359,"April","11","April 11","birthday","Andrew Wiles â€” Born 1953","British mathematician who proved Fermat\'s Last Theorem after 7 years of secret work. Won the Abel Prize in 2016.","Number Theory"
360,"April","13","April 13","achievement","Euler\'s Identity Published","Leonhard Euler presented e^(iÏ€) + 1 = 0, linking five fundamental constants. Called ""the most beautiful equation in mathematics.""","Mathematics"
